name	replicate	type	bam
DNMT1	DNMT1_22_g2	g2	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/DNMT1_22_g2_filtered.bam
CUX1	CUX1_19_c1	c1	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_19_c1_filtered.bam
EPB41	EPB41_24_c1	c1	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/EPB41_24_c1_filtered.bam
DNMT1	DNMT1_22_c2	c2	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/DNMT1_22_c2_filtered.bam
CUX1	CUX1_19_c6	c6	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_19_c6_filtered.bam
DNMT1	DNMT1_22_g1	g1	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/DNMT1_22_g1_filtered.bam
DNMT1	DNMT1_22_c6	c6	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/DNMT1_22_c6_filtered.bam
DNMT1	DNMT1_22_g3	g3	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/DNMT1_22_g3_filtered.bam
EPB41	EPB41_24_c7	c7	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/EPB41_24_c7_filtered.bam
DNMT1	DNMT1_22_g4	g4	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/DNMT1_22_g4_filtered.bam
EPB41	EPB41_24_c2	c2	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/EPB41_24_c2_filtered.bam
CUX1	CUX1_19_g3	g3	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_19_g3_filtered.bam
EPB41	EPB41_24_c4	c4	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/EPB41_24_c4_filtered.bam
DNMT1	DNMT1_22_c8	c8	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/DNMT1_22_c8_filtered.bam
DNMT1	DNMT1_22_c5	c5	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/DNMT1_22_c5_filtered.bam
EPB41	EPB41_24_g3	g3	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/EPB41_24_g3_filtered.bam
FOXP1	FOXP1_18_c6	c6	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/FOXP1_18_c6_filtered.bam
EPB41	EPB41_24_g4	g4	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/EPB41_24_g4_filtered.bam
CUX1	CUX1_19_g1	g1	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_19_g1_filtered.bam
EPB41	EPB41_24_c6	c6	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/EPB41_24_c6_filtered.bam
EPB41	EPB41_24_g2	g2	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/EPB41_24_g2_filtered.bam
FOXP1	FOXP1_18_c4	c4	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/FOXP1_18_c4_filtered.bam
FOXP1	FOXP1_18_c1	c1	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/FOXP1_18_c1_filtered.bam
FOXP1	FOXP1_18_g1	g1	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/FOXP1_18_g1_filtered.bam
EPB41	EPB41_24_g1	g1	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/EPB41_24_g1_filtered.bam
FOXP1	FOXP1_18_c5	c5	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/FOXP1_18_c5_filtered.bam
CUX1	CUX1_19_c8	c8	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_19_c8_filtered.bam
FOXP1	FOXP1_18_c2	c2	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/FOXP1_18_c2_filtered.bam
DNMT1	DNMT1_22_c7	c7	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/DNMT1_22_c7_filtered.bam
CUX1	CUX1_19_g4	g4	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_19_g4_filtered.bam
FOXP1	FOXP1_18_c8	c8	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/FOXP1_18_c8_filtered.bam
EPB41	EPB41_24_c5	c5	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/EPB41_24_c5_filtered.bam
FUT8	FUT8_27_c6	c6	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/FUT8_27_c6_filtered.bam
EPB41	EPB41_24_c8	c8	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/EPB41_24_c8_filtered.bam
SAV1	SAV1_17_c2	c2	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/SAV1_17_c2_filtered.bam
FOXP1	FOXP1_18_g4	g4	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/FOXP1_18_g4_filtered.bam
EPB41	EPB41_24_c3	c3	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/EPB41_24_c3_filtered.bam
FUT8	FUT8_27_c8	c8	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/FUT8_27_c8_filtered.bam
SAV1	SAV1_17_c6	c6	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/SAV1_17_c6_filtered.bam
FUT8	FUT8_27_g4	g4	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/FUT8_27_g4_filtered.bam
FOXP1	FOXP1_18_g3	g3	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/FOXP1_18_g3_filtered.bam
FOXP1	FOXP1_18_c3	c3	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/FOXP1_18_c3_filtered.bam
SAV1	SAV1_17_c7	c7	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/SAV1_17_c7_filtered.bam
SAV1	SAV1_17_g1	g1	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/genIE_kolf_round275_post_covid/BWA_SAMCLIP_10/FLASH_FILTERED/SAV1_17_g1_filtered.bam
