name	replicate	replicate_full	rsid	hgnc	sample	type	PCR	prefix	Read_1_file	Read_2_file	bam
DNMT1	c4	DNMT1_H6_C4	rs117064827	DNMT1	H6	cDNA	NA	H6_C4	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-C4_S53_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-C4_S53_L001_R2_001.fastq.gz	NA
DNMT1	c5	DNMT1_H6_C5	rs117064827	DNMT1	H6	cDNA	NA	H6_C5	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-C5_S54_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-C5_S54_L001_R2_001.fastq.gz	NA
DNMT1	c6	DNMT1_H6_C6	rs117064827	DNMT1	H6	cDNA	NA	H6_C6	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-C6_S55_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-C6_S55_L001_R2_001.fastq.gz	NA
DNMT1	c7	DNMT1_H6_C7	rs117064827	DNMT1	H6	cDNA	NA	H6_C7	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-C7_S56_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-C7_S56_L001_R2_001.fastq.gz	NA
DNMT1	c8	DNMT1_H6_C8	rs117064827	DNMT1	H6	cDNA	NA	H6_C8	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-C8_S57_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-C8_S57_L001_R2_001.fastq.gz	NA
DNMT1	g1	DNMT1_H6_G1	rs117064827	DNMT1	H6	gDNA	NA	H6_G1	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-G1_S46_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-G1_S46_L001_R2_001.fastq.gz	NA
DNMT1	g2	DNMT1_H6_G2	rs117064827	DNMT1	H6	gDNA	NA	H6_G2	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-G2_S47_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-G2_S47_L001_R2_001.fastq.gz	NA
DNMT1	g3	DNMT1_H6_G3	rs117064827	DNMT1	H6	gDNA	NA	H6_G3	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-G3_S48_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-G3_S48_L001_R2_001.fastq.gz	NA
DNMT1	g4	DNMT1_H6_G4	rs117064827	DNMT1	H6	gDNA	NA	H6_G4	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-G4_S49_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-G4_S49_L001_R2_001.fastq.gz	NA
EPB41	c1	EPB41_H10_C1	rs115820925	EPB41	H10	cDNA	NA	H10_C1	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C1_S86_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C1_S86_L001_R2_001.fastq.gz	NA
EPB41	c2	EPB41_H10_C2	rs115820925	EPB41	H10	cDNA	NA	H10_C2	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C2_S87_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C2_S87_L001_R2_001.fastq.gz	NA
EPB41	c3	EPB41_H10_C3	rs115820925	EPB41	H10	cDNA	NA	H10_C3	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C3_S88_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C3_S88_L001_R2_001.fastq.gz	NA
EPB41	c4	EPB41_H10_C4	rs115820925	EPB41	H10	cDNA	NA	H10_C4	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C4_S89_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C4_S89_L001_R2_001.fastq.gz	NA
EPB41	c5	EPB41_H10_C5	rs115820925	EPB41	H10	cDNA	NA	H10_C5	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C5_S90_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C5_S90_L001_R2_001.fastq.gz	NA
EPB41	c6	EPB41_H10_C6	rs115820925	EPB41	H10	cDNA	NA	H10_C6	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C6_S91_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C6_S91_L001_R2_001.fastq.gz	NA
EPB41	c7	EPB41_H10_C7	rs115820925	EPB41	H10	cDNA	NA	H10_C7	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C7_S92_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C7_S92_L001_R2_001.fastq.gz	NA
EPB41	c8	EPB41_H10_C8	rs115820925	EPB41	H10	cDNA	NA	H10_C8	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C8_S93_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C8_S93_L001_R2_001.fastq.gz	NA
EPB41	g1	EPB41_H10_G1	rs115820925	EPB41	H10	gDNA	NA	H10_G1	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-G1_S82_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-G1_S82_L001_R2_001.fastq.gz	NA
EPB41	g2	EPB41_H10_G2	rs115820925	EPB41	H10	gDNA	NA	H10_G2	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-G2_S83_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-G2_S83_L001_R2_001.fastq.gz	NA
EPB41	g3	EPB41_H10_G3	rs115820925	EPB41	H10	gDNA	NA	H10_G3	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-G3_S84_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-G3_S84_L001_R2_001.fastq.gz	NA
EPB41	g4	EPB41_H10_G4	rs115820925	EPB41	H10	gDNA	NA	H10_G4	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-G4_S85_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-G4_S85_L001_R2_001.fastq.gz	NA
FOXP1	c1	FOXP1_H1_C1	rs35592432	FOXP1	H1	cDNA	NA	H1_C1	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C1_S5_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C1_S5_L001_R2_001.fastq.gz	NA
FOXP1	c2	FOXP1_H1_C2	rs35592432	FOXP1	H1	cDNA	NA	H1_C2	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C2_S6_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C2_S6_L001_R2_001.fastq.gz	NA
FOXP1	c3	FOXP1_H1_C3	rs35592432	FOXP1	H1	cDNA	NA	H1_C3	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C3_S7_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C3_S7_L001_R2_001.fastq.gz	NA
FOXP1	c4	FOXP1_H1_C4	rs35592432	FOXP1	H1	cDNA	NA	H1_C4	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C4_S8_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C4_S8_L001_R2_001.fastq.gz	NA
FOXP1	c5	FOXP1_H1_C5	rs35592432	FOXP1	H1	cDNA	NA	H1_C5	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C5_S9_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C5_S9_L001_R2_001.fastq.gz	NA
FOXP1	c6	FOXP1_H1_C6	rs35592432	FOXP1	H1	cDNA	NA	H1_C6	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C6_S10_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C6_S10_L001_R2_001.fastq.gz	NA
FOXP1	c7	FOXP1_H1_C7	rs35592432	FOXP1	H1	cDNA	NA	H1_C7	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C7_S11_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C7_S11_L001_R2_001.fastq.gz	NA
FOXP1	c8	FOXP1_H1_C8	rs35592432	FOXP1	H1	cDNA	NA	H1_C8	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C8_S12_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C8_S12_L001_R2_001.fastq.gz	NA
FOXP1	g1	FOXP1_H1_G1	rs35592432	FOXP1	H1	gDNA	NA	H1_G1	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-G1_S1_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-G1_S1_L001_R2_001.fastq.gz	NA
FOXP1	g2	FOXP1_H1_G2	rs35592432	FOXP1	H1	gDNA	NA	H1_G2	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-G2_S2_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-G2_S2_L001_R2_001.fastq.gz	NA
