name	replicate	type	bam
C2CD5	C2CD5_14_c7	c7	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_14_c7_filtered.bam
DLG4	DLG4_7_c3	c3	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/DLG4_7_c3_filtered.bam
CUX1	CUX1_3_g2	g2	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_3_g2_filtered.bam
DLG4	DLG4_7_c2	c2	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/DLG4_7_c2_filtered.bam
CUX1	CUX1_3_c7	c7	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_3_c7_filtered.bam
CUX1	CUX1_3_c4	c4	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_3_c4_filtered.bam
DLG4	DLG4_7_c4	c4	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/DLG4_7_c4_filtered.bam
DLG4	DLG4_7_c5	c5	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/DLG4_7_c5_filtered.bam
CUX1	CUX1_3_g4	g4	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_3_g4_filtered.bam
CUX1	CUX1_3_c5	c5	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_3_c5_filtered.bam
CUX1	CUX1_3_c2	c2	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_3_c2_filtered.bam
CUX1	CUX1_3_c6	c6	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_3_c6_filtered.bam
CUX1	CUX1_3_g1	g1	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_3_g1_filtered.bam
CUX1	CUX1_3_c8	c8	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_3_c8_filtered.bam
DLG4	DLG4_7_c1	c1	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/DLG4_7_c1_filtered.bam
C2CD5	C2CD5_14_g2	g2	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_14_g2_filtered.bam
C2CD5	C2CD5_14_c8	c8	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_14_c8_filtered.bam
C2CD5	C2CD5_14_g3	g3	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/C2CD5_14_g3_filtered.bam
DLG4	DLG4_7_c7	c7	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/DLG4_7_c7_filtered.bam
DLG4	DLG4_7_c6	c6	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/DLG4_7_c6_filtered.bam
DLG4	DLG4_7_g3	g3	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/DLG4_7_g3_filtered.bam
CUX1	CUX1_3_c1	c1	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_3_c1_filtered.bam
CUX1	CUX1_3_g3	g3	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/CUX1_3_g3_filtered.bam
DNMT1	DNMT1_10_c4	c4	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/DNMT1_10_c4_filtered.bam
DNMT1	DNMT1_10_c2	c2	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/DNMT1_10_c2_filtered.bam
DLG4	DLG4_7_g2	g2	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/K562/BWA_SAMCLIP_10/FLASH_FILTERED/DLG4_7_g2_filtered.bam
